,STATE,Year,O3 (in ppm)
400,Georgia,2009,0.040635067437379574
401,Georgia,2010,0.046219591369104446
402,Georgia,2011,0.04709777607361963
403,Georgia,2012,0.04365810990682639
404,Georgia,2013,0.03906225090149933
405,Georgia,2014,0.040940921622686095
406,Georgia,2015,0.03947807528133489
407,Georgia,2016,0.04385536398467433
408,Georgia,2017,0.03997651545564031
409,Georgia,2018,0.03934603174603175
410,Georgia,2019,0.04169110152881223
411,Georgia,2020,0.03640277777777778
412,Hawaii,1980,0.019953846153846155
413,Hawaii,1981,0.014178217821782179
414,Hawaii,1982,0.013159021406727828
415,Hawaii,1983,0.019028409090909092
416,Hawaii,1984,0.01663450292397661
417,Hawaii,1985,0.01666568047337278
418,Hawaii,1986,0.01571225071225071
419,Hawaii,1987,0.023605965463108322
420,Hawaii,1988,0.011334442595673877
421,Hawaii,1989,0.014807570977917982
422,Hawaii,1990,0.017841726618705037
423,Hawaii,1991,0.0205357590966123
424,Hawaii,1992,0.024248983739837398
425,Hawaii,1993,0.029228628230616303
426,Hawaii,1994,0.0291162109375
427,Hawaii,1995,0.028706618962432918
428,Hawaii,1996,0.019570605187319887
429,Hawaii,1997,0.024717451523545708
430,Hawaii,1998,0.026701657458563538
431,Hawaii,1999,0.025553370786516854
432,Hawaii,2000,0.021361918604651163
433,Hawaii,2001,0.022740524781341108
434,Hawaii,2002,0.02364373088685015
435,Hawaii,2003,0.023533141210374642
436,Hawaii,2004,0.022140845070422535
437,Hawaii,2005,0.022686111111111112
438,Hawaii,2006,0.017756373937677053
439,Hawaii,2007,0.016910614525139665
440,Hawaii,2008,0.022467105263157896
441,Hawaii,2009,0.025184438040345824
442,Hawaii,2010,0.02562880886426593
443,Hawaii,2011,0.027744849445324883
444,Hawaii,2012,0.02661855670103093
445,Hawaii,2013,0.028045045045045045
446,Hawaii,2014,0.026817543859649122
447,Hawaii,2015,0.027969870875179343
448,Hawaii,2016,0.029093206951026858
449,Hawaii,2017,0.0291269592476489
450,Hawaii,2018,0.029230252100840334
451,Hawaii,2019,0.027995720399429387
452,Hawaii,2020,0.03465591397849462
453,Idaho,1989,0.028307692307692308
454,Idaho,1990,0.028591549295774645
455,Idaho,1992,0.03428235294117647
456,Idaho,1993,0.04200606060606061
457,Idaho,1994,0.04667696629213483
458,Idaho,1995,0.04134398034398034
459,Idaho,1996,0.04464331210191083
460,Idaho,1997,0.04399293286219081
461,Idaho,1998,0.04621489971346705
462,Idaho,1999,0.046690340909090904
463,Idaho,2000,0.04601719197707736
464,Idaho,2001,0.044920774647887324
465,Idaho,2002,0.050375639713408395
466,Idaho,2003,0.048049180327868854
467,Idaho,2004,0.04737902388369678
468,Idaho,2005,0.048262023217247096
469,Idaho,2006,0.053052966101694916
470,Idaho,2007,0.04916640746500778
471,Idaho,2008,0.04707615894039736
472,Idaho,2009,0.046113445378151256
473,Idaho,2010,0.04421726408193124
474,Idaho,2011,0.04674429583005507
475,Idaho,2012,0.04432422360248447
476,Idaho,2013,0.041365038560411314
477,Idaho,2014,0.04122195121951219
478,Idaho,2015,0.04131944444444445
479,Idaho,2016,0.040378125
480,Idaho,2017,0.042752542372881355
481,Idaho,2018,0.0402671009771987
482,Idaho,2019,0.036664291369754555
483,Idaho,2020,0.03670909090909091
