,STATE,Year,PM2.5 (in ug/m3 LC)
225,Georgia,2004.0,14.304260418053522
226,Georgia,2005.0,14.629215830875124
227,Georgia,2006.0,15.024881087202719
228,Georgia,2007.0,14.927880590438422
229,Georgia,2008.0,12.774950135992748
230,Georgia,2009.0,11.013850213850214
231,Georgia,2010.0,12.072085618255793
232,Georgia,2011.0,12.10782043288501
233,Georgia,2012.0,10.53856427378965
234,Georgia,2013.0,9.468875520592318
235,Georgia,2014.0,10.03852361302155
236,Georgia,2015.0,8.844782168186423
237,Georgia,2016.0,8.773342460395071
238,Georgia,2017.0,8.654529349238219
239,Georgia,2018.0,8.243487069479205
240,Georgia,2019.0,9.17611533658758
241,Georgia,2020.0,8.268129496402878
242,Hawaii,1999.0,4.6321925133689845
243,Hawaii,2000.0,4.2695344129554655
244,Hawaii,2001.0,4.074513124470787
245,Hawaii,2002.0,3.9065671641791044
246,Hawaii,2003.0,4.294980079681275
247,Hawaii,2004.0,3.732828282828283
248,Hawaii,2005.0,4.046304957904583
249,Hawaii,2006.0,3.915838926174497
250,Hawaii,2007.0,3.6242494226327944
251,Hawaii,2008.0,8.415396341463415
252,Hawaii,2009.0,7.151331320340379
253,Hawaii,2010.0,7.406892922915022
254,Hawaii,2011.0,6.137926916646764
255,Hawaii,2012.0,7.363414081956079
256,Hawaii,2013.0,6.312826797385621
257,Hawaii,2014.0,5.781575950808472
258,Hawaii,2015.0,6.093965183752418
259,Hawaii,2016.0,6.454448536538089
260,Hawaii,2017.0,5.577587939698493
261,Hawaii,2018.0,5.4148927392739274
262,Hawaii,2019.0,2.858539435248296
263,Hawaii,2020.0,3.123246073298429
264,Idaho,1999.0,12.94038338658147
265,Idaho,2000.0,11.991460333501768
266,Idaho,2001.0,9.486213991769548
267,Idaho,2002.0,8.574019933554817
268,Idaho,2003.0,7.309393063583816
269,Idaho,2004.0,7.952354467927327
270,Idaho,2005.0,7.848692810457517
271,Idaho,2006.0,7.961053896326811
272,Idaho,2007.0,8.219600725952812
273,Idaho,2008.0,7.344159226190476
274,Idaho,2009.0,7.224880805226912
275,Idaho,2010.0,8.163440860215054
276,Idaho,2011.0,7.0862248891207935
277,Idaho,2012.0,9.34115898959881
278,Idaho,2013.0,9.779993514915693
279,Idaho,2014.0,8.51969696969697
280,Idaho,2015.0,8.480698123620309
281,Idaho,2016.0,6.768016729033678
282,Idaho,2017.0,9.6600332709503
283,Idaho,2018.0,7.990584346342503
284,Idaho,2019.0,6.599712908848559
285,Idaho,2020.0,6.015657084188912
286,Illinois,1999.0,16.724550035997122
287,Illinois,2000.0,15.988229777256741
288,Illinois,2001.0,15.668509057129588
289,Illinois,2002.0,14.926026805015132
290,Illinois,2003.0,14.379540287951503
291,Illinois,2004.0,13.06129268292683
292,Illinois,2005.0,15.752759948652118
293,Illinois,2006.0,13.023169175810157
294,Illinois,2007.0,13.488641022549139
295,Illinois,2008.0,11.721389578163771
296,Illinois,2009.0,11.34848696461825
297,Illinois,2010.0,12.185160758450124
298,Illinois,2011.0,12.261332120936576
299,Illinois,2012.0,10.978947368421052
300,Illinois,2013.0,10.095665399239545
301,Illinois,2014.0,10.340040538050488
302,Illinois,2015.0,9.766301138760017
303,Illinois,2016.0,8.564202956452258
304,Illinois,2017.0,8.699882075471699
305,Illinois,2018.0,9.310956558955702
306,Illinois,2019.0,9.214950880065492
307,Illinois,2020.0,8.736886993603411
308,Indiana,1999.0,15.639702581369248
309,Indiana,2000.0,15.940675888635965
310,Indiana,2001.0,15.633425925925927
311,Indiana,2002.0,14.892124072825355
312,Indiana,2003.0,14.510060711188206
313,Indiana,2004.0,13.54505862646566
314,Indiana,2005.0,16.23547118644068
315,Indiana,2006.0,13.02769071363813
316,Indiana,2007.0,14.278799920524538
317,Indiana,2008.0,12.709855795294374
318,Indiana,2009.0,12.397579079593468
319,Indiana,2010.0,13.316194331983805
320,Indiana,2011.0,12.277380611953102
321,Indiana,2012.0,11.227397260273973
322,Indiana,2013.0,10.775717439293599
323,Indiana,2014.0,11.48170235356574
324,Indiana,2015.0,10.057014388489208
325,Indiana,2016.0,8.596479769276444
326,Indiana,2017.0,8.344461345740873
327,Indiana,2018.0,8.890685034204854
328,Indiana,2019.0,8.803390324460851
329,Indiana,2020.0,8.945477282200917
330,Iowa,1999.0,11.523739956172388
331,Iowa,2000.0,10.930123641813413
332,Iowa,2001.0,11.528895877009084
333,Iowa,2002.0,11.047252385653175
334,Iowa,2003.0,11.159577278731835
335,Iowa,2004.0,10.098547918683447
336,Iowa,2005.0,12.197862957937586
337,Iowa,2006.0,10.400071736011478
338,Iowa,2007.0,12.138618200567155
339,Iowa,2008.0,11.068163628279235
340,Iowa,2009.0,10.79143585386576
341,Iowa,2010.0,11.528180488823898
342,Iowa,2011.0,10.540043031317236
343,Iowa,2012.0,9.974306156144351
344,Iowa,2013.0,9.810742532442601
345,Iowa,2014.0,9.938669214155174
346,Iowa,2015.0,9.247003389270066
347,Iowa,2016.0,8.284460587842352
348,Iowa,2017.0,8.400086737791657
349,Iowa,2018.0,8.527670819177049
350,Iowa,2019.0,7.7713405663847
351,Iowa,2020.0,8.324381188118812
352,Kansas,1999.0,12.391900075700228
353,Kansas,2000.0,11.457372346528974
354,Kansas,2001.0,11.48750743604997
355,Kansas,2002.0,11.260808625336926
356,Kansas,2003.0,10.900193236714976
357,Kansas,2004.0,9.699422991566799
358,Kansas,2005.0,11.10520926090828
359,Kansas,2006.0,9.146440844378988
360,Kansas,2007.0,10.256341463414634
361,Kansas,2008.0,9.321183378500452
362,Kansas,2009.0,8.672017673048602
363,Kansas,2010.0,8.826366251198465
364,Kansas,2011.0,9.657869709938183
365,Kansas,2012.0,8.81609139523578
366,Kansas,2013.0,8.84202822791427
367,Kansas,2014.0,9.156476079346557
368,Kansas,2015.0,7.561721710882512
369,Kansas,2016.0,6.597793035801863
370,Kansas,2017.0,7.11972731146144
371,Kansas,2018.0,7.775257731958764
372,Kansas,2019.0,7.520132013201319
373,Kansas,2020.0,6.732618025751073
374,Kentucky,1999.0,15.936009087466868
375,Kentucky,2000.0,16.207096069868996
376,Kentucky,2001.0,15.66096701889209
377,Kentucky,2002.0,14.826041371493341
378,Kentucky,2003.0,14.338759479956662
379,Kentucky,2004.0,13.260097205346295
380,Kentucky,2005.0,15.716500849308419
381,Kentucky,2006.0,13.587075887075887
382,Kentucky,2007.0,13.628779271165303
383,Kentucky,2008.0,10.668509865005191
384,Kentucky,2009.0,9.258182626741773
385,Kentucky,2010.0,10.057910931174089
386,Kentucky,2011.0,10.01320051830256
387,Kentucky,2012.0,9.383270584383697
388,Kentucky,2013.0,8.916016211347944
389,Kentucky,2014.0,9.104344158582876
390,Kentucky,2015.0,9.264319667260844
391,Kentucky,2016.0,9.109462365591398
