,STATE,Year,SO2 (in ppb)
330,District Of Columbia,2006,11.364383561643836
331,District Of Columbia,2007,11.66470588235294
332,District Of Columbia,2008,10.647222222222222
333,District Of Columbia,2009,8.813888888888888
334,District Of Columbia,2010,5.743732590529248
335,District Of Columbia,2011,3.9526978417266183
336,District Of Columbia,2012,3.0779220779220777
337,District Of Columbia,2013,2.1604992657856092
338,District Of Columbia,2014,2.8304849884526555
339,District Of Columbia,2015,2.8849582172701953
340,District Of Columbia,2016,1.8124401913875599
341,District Of Columbia,2017,1.62292817679558
342,District Of Columbia,2018,1.5278481012658227
343,District Of Columbia,2019,1.2293201133144476
344,Florida,1980,21.871147318397828
345,Florida,1981,22.18850672028786
346,Florida,1982,21.586795029359553
347,Florida,1983,16.713939629485683
348,Florida,1984,18.988712011577423
349,Florida,1985,18.027970970668278
350,Florida,1986,19.745507669831994
351,Florida,1987,19.345417411284146
352,Florida,1988,18.3814316266197
353,Florida,1989,19.907366684991754
354,Florida,1990,19.135135135135137
355,Florida,1991,17.527857703374313
356,Florida,1992,18.938307934839727
357,Florida,1993,19.08418527018569
358,Florida,1994,18.232394366197184
359,Florida,1995,14.475608514105305
360,Florida,1996,14.682492883285889
361,Florida,1997,14.927554179566563
362,Florida,1998,16.110359187922956
363,Florida,1999,16.23589381245584
364,Florida,2000,14.189947517157853
365,Florida,2001,13.061388526072541
366,Florida,2002,12.429699517998154
367,Florida,2003,10.161338289962826
368,Florida,2004,8.482007792803117
369,Florida,2005,8.153142724852414
370,Florida,2006,7.416619237336369
371,Florida,2007,6.645850451930978
372,Florida,2008,5.370385179261628
373,Florida,2009,4.165618448637317
374,Florida,2010,4.306292325056433
375,Florida,2011,4.264840905493114
376,Florida,2012,2.947051945882746
377,Florida,2013,2.72159739201304
378,Florida,2014,3.6662188386326315
379,Florida,2015,2.846770847738902
380,Florida,2016,2.3746182694883475
381,Florida,2017,2.2899365867107804
382,Florida,2018,2.257276920629871
383,Florida,2019,2.0122366940022514
384,Georgia,1980,22.417898574743123
385,Georgia,1981,26.233753943217668
