,STATE,Year,CO (in ppm)
1053,Montana,2006,0.814708886618999
1054,Montana,2007,0.6391857506361324
1055,Montana,2008,0.5988320355951057
1056,Montana,2009,0.5432488360062079
1057,Montana,2010,0.5006184291898578
1058,Montana,2011,0.3087
1059,Montana,2012,0.12129337539432178
1060,Montana,2013,0.120404984423676
1061,Montana,2014,0.15834522111269614
1062,Montana,2015,0.2037974683544304
1063,Montana,2016,0.23367799113737073
1064,Montana,2017,0.21203007518796993
1065,Montana,2018,0.1875
1066,Montana,2019,0.18118518518518517
1067,Montana,2020,0.1625
1068,Nebraska,1980,1.8393288590604027
1069,Nebraska,1981,2.0321377331420374
1070,Nebraska,1982,2.214796283059328
1071,Nebraska,1983,1.6601164483260553
1072,Nebraska,1984,1.6059667673716014
1073,Nebraska,1985,1.2890231621349446
1074,Nebraska,1986,1.8114146341463415
1075,Nebraska,1987,1.6994837758112094
1076,Nebraska,1988,1.7929875821767713
1077,Nebraska,1989,1.532199861207495
1078,Nebraska,1990,1.5881735479356194
1079,Nebraska,1991,1.5636557610241821
1080,Nebraska,1992,1.5545454545454545
1081,Nebraska,1993,1.3070588235294118
1082,Nebraska,1994,1.2525487256371814
1083,Nebraska,1995,1.2643515237420269
1084,Nebraska,1996,1.0730848861283644
1085,Nebraska,1997,1.0694362017804153
1086,Nebraska,1998,1.263876651982379
1087,Nebraska,1999,1.3443213296398893
1088,Nebraska,2000,0.9254394079555966
1089,Nebraska,2001,0.9317968015051741
1090,Nebraska,2002,0.9260617760617761
1091,Nebraska,2003,0.8728624535315985
1092,Nebraska,2004,0.8265668849391955
1093,Nebraska,2005,0.8013546798029557
1094,Nebraska,2006,0.7851485148514852
1095,Nebraska,2007,0.7391910739191074
1096,Nebraska,2008,0.6890603085553997
1097,Nebraska,2009,0.6968275862068966
1098,Nebraska,2010,0.6770308123249299
1099,Nebraska,2011,0.4867745004757374
1100,Nebraska,2012,0.4756064690026954
1101,Nebraska,2013,0.4015277777777778
1102,Nebraska,2014,0.47394366197183097
1103,Nebraska,2015,0.4536652835408022
1104,Nebraska,2016,0.3968275862068965
1105,Nebraska,2017,0.3814245810055866
1106,Nebraska,2018,0.37672176308539945
1107,Nebraska,2019,0.3629834254143647
1108,Nevada,1980,4.305004314063848
1109,Nevada,1981,3.363444976076555
1110,Nevada,1982,3.0665515256188836
1111,Nevada,1983,2.377685950413223
1112,Nevada,1984,2.754472843450479
1113,Nevada,1985,3.3234454638124364
1114,Nevada,1986,2.973873873873874
1115,Nevada,1987,2.7269724770642205
1116,Nevada,1988,2.786970338983051
1117,Nevada,1989,2.577025641025641
1118,Nevada,1990,2.2120696038504257
1119,Nevada,1991,2.0045091918140825
1120,Nevada,1992,1.9177210765466621
1121,Nevada,1993,1.772566371681416
1122,Nevada,1994,1.9327673410404622
1123,Nevada,1995,1.7566345873432487
1124,Nevada,1996,1.5768161112443058
1125,Nevada,1997,1.5943259636079046
1126,Nevada,1998,1.2830993745656705
1127,Nevada,1999,1.3199325201141967
1128,Nevada,2000,1.0971151454861974
1129,Nevada,2001,1.0352204288123343
1130,Nevada,2002,1.024898493778651
1131,Nevada,2003,1.0240496857228374
1132,Nevada,2004,1.0896354166666666
1133,Nevada,2005,1.0245985401459854
1134,Nevada,2006,0.9712136822583969
1135,Nevada,2007,0.8619199659429545
1136,Nevada,2008,0.7910907003444316
1137,Nevada,2009,0.7261735419630156
1138,Nevada,2010,0.6314943760042849
1139,Nevada,2011,0.6349162011173185
1140,Nevada,2012,0.6543307086614173
1141,Nevada,2013,0.6137299126021991
1142,Nevada,2014,0.5518585131894485
1143,Nevada,2015,0.5217768595041322
1144,Nevada,2016,0.4953003677973028
1145,Nevada,2017,0.5659822678488101
1146,Nevada,2018,0.5663793103448276
1147,Nevada,2019,0.4776811594202898
1148,New Hampshire,1980,3.715929203539823
1149,New Hampshire,1981,4.513164556962026
1150,New Hampshire,1982,4.899134199134199
1151,New Hampshire,1983,4.674395448079658
1152,New Hampshire,1984,4.059401709401709
1153,New Hampshire,1985,4.203238866396761
1154,New Hampshire,1986,3.7872126436781612
1155,New Hampshire,1987,3.058920539730135
1156,New Hampshire,1988,2.536098981077147
1157,New Hampshire,1989,1.8571839080459769
1158,New Hampshire,1990,1.8195530726256983
1159,New Hampshire,1991,1.8584637268847795
1160,New Hampshire,1992,1.7870129870129872
1161,New Hampshire,1993,1.8468390804597703
1162,New Hampshire,1994,1.86056338028169
1163,New Hampshire,1995,1.4095170454545454
1164,New Hampshire,1996,1.6245714285714286
1165,New Hampshire,1997,1.5254261363636366
1166,New Hampshire,1998,1.3613636363636363
