,STATE,Year,NO2 (in ppb)
898,Montana,1980,22.082167832167833
899,Montana,1981,9.448997772828507
900,Montana,1982,9.893203883495145
901,Montana,1983,1.9681557846506301
902,Montana,1984,2.476011846001974
903,Montana,1985,8.491614777916148
904,Montana,1986,8.276413908671973
905,Montana,1987,7.9812526629740095
906,Montana,1988,10.560805577072037
907,Montana,1989,10.421270199173243
908,Montana,1990,9.560108059432688
909,Montana,1991,10.338805970149254
910,Montana,1992,9.002588438308887
911,Montana,1993,7.267094017094017
912,Montana,1994,7.600997506234414
913,Montana,1995,8.73053066850448
914,Montana,1996,6.743013698630137
915,Montana,1997,7.207952713594842
916,Montana,1998,5.616370106761566
917,Montana,1999,5.534423994546694
918,Montana,2000,8.328358208955224
919,Montana,2001,10.076139670223084
920,Montana,2002,8.195934500282327
921,Montana,2003,6.277195281782438
922,Montana,2004,3.5744985673352434
923,Montana,2005,11.100961538461538
924,Montana,2006,10.767955801104973
925,Montana,2007,11.025270758122744
926,Montana,2008,4.043918918918919
927,Montana,2009,4.405909797822706
928,Montana,2010,5.168415240198785
929,Montana,2011,4.904811174340404
930,Montana,2012,4.144972720187061
931,Montana,2013,3.9207077326343382
932,Montana,2014,3.924617996604414
933,Montana,2015,3.2189709485474274
934,Montana,2016,3.371652421652422
935,Montana,2017,3.1254830477579296
936,Montana,2018,3.4113089005235606
937,Montana,2019,3.214946619217082
938,Montana,2020,3.639010989010989
939,Nebraska,1980,8.83859649122807
940,Nebraska,1981,9.106140350877192
941,Nevada,1980,82.24132231404958
942,Nevada,1981,74.715649867374
943,Nevada,1982,45.16230769230769
944,Nevada,1983,43.33180873180873
945,Nevada,1984,65.4161938534279
946,Nevada,1985,53.2779746835443
947,Nevada,1986,50.525454545454544
948,Nevada,1987,57.52681818181818
949,Nevada,1988,72.73131067961165
950,Nevada,1989,61.12320916905444
951,Nevada,1990,53.09936788874842
952,Nevada,1991,45.861029411764704
953,Nevada,1992,42.9922149122807
954,Nevada,1993,46.36810865191147
955,Nevada,1994,39.59373401534527
956,Nevada,1995,41.23121387283237
957,Nevada,1996,40.56132756132756
958,Nevada,1997,33.29102167182663
959,Nevada,1998,27.722182849043232
960,Nevada,1999,30.991202346041057
961,Nevada,2000,26.795296167247386
962,Nevada,2001,26.390593047034766
963,Nevada,2002,28.238260321462338
964,Nevada,2003,27.61588214157384
965,Nevada,2004,27.420724094881397
966,Nevada,2005,26.253438932888702
967,Nevada,2006,26.450894805761678
968,Nevada,2007,28.91055456171735
969,Nevada,2008,32.34427767354597
970,Nevada,2009,29.260465116279068
971,Nevada,2010,26.99666666666667
972,Nevada,2011,26.972631578947368
973,Nevada,2012,27.754711802378775
974,Nevada,2013,28.417157275021026
975,Nevada,2014,27.732263660017345
976,Nevada,2015,29.12995978552279
977,Nevada,2016,31.719381875327397
978,Nevada,2017,33.49954032595069
979,Nevada,2018,32.676533457249064
980,Nevada,2019,31.010980760206472
981,Nevada,2020,39.412
982,New Hampshire,1986,29.305555555555557
983,New Hampshire,1987,37.40701754385965
984,New Hampshire,1988,45.74269005847953
985,New Hampshire,1989,42.52439024390244
986,New Hampshire,1990,40.047008547008545
987,New Hampshire,1991,29.372340425531913
988,New Hampshire,1992,26.12116991643454
989,New Hampshire,1993,27.94825174825175
990,New Hampshire,1994,25.919540229885058
991,New Hampshire,1995,24.776011560693643
992,New Hampshire,1996,29.265162200282088
993,New Hampshire,1997,27.599431818181817
994,New Hampshire,1998,22.981327800829874
995,New Hampshire,1999,20.967032967032967
996,New Hampshire,2000,19.335449735449735
997,New Hampshire,2001,22.308771929824562
998,New Hampshire,2002,21.685581395348837
999,New Hampshire,2003,22.25605095541401
1000,New Hampshire,2004,17.046979865771814
1001,New Hampshire,2005,17.127128263337116
1002,New Hampshire,2006,14.810309278350516
1003,New Hampshire,2007,13.61405172413793
1004,New Hampshire,2008,14.8048417132216
1005,New Hampshire,2009,14.30801393728223
1006,New Hampshire,2010,10.500455235204855
1007,New Hampshire,2011,4.615384615384615
1008,New Hampshire,2012,3.574509803921569
1009,New Hampshire,2013,3.261702127659574
1010,New Hampshire,2014,5.647738693467337
1011,New Hampshire,2015,7.297506925207757
1012,New Hampshire,2016,6.735294117647059
1013,New Hampshire,2017,6.262898550724637
1014,New Hampshire,2018,5.834897360703812
1015,New Hampshire,2019,5.938567493112947
1016,New Jersey,1980,49.08821376281113
1017,New Jersey,1981,46.33042263360112
1018,New Jersey,1982,53.90196078431372
1019,New Jersey,1983,54.58665458937198
1020,New Jersey,1984,51.382013835511145
1021,New Jersey,1985,51.82520169035728
1022,New Jersey,1986,47.67113095238095
1023,New Jersey,1987,52.679866765358994
1024,New Jersey,1988,52.498361849290134
1025,New Jersey,1989,47.87997081357169
1026,New Jersey,1990,47.01852524518707
1027,New Jersey,1991,45.669282911166604
1028,New Jersey,1992,46.3779359430605
1029,New Jersey,1993,44.82582476055339
1030,New Jersey,1994,46.21783526208305
